model,trim,engine,category,part_number,normalized_part_number,description,detail,evidence_url
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6509171AA,6509171AA,Hex Head Bolt Mounting,"![Image 47: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Mounting, Main Bearing Crossbar To Cylinder Block. Pump Bracket To Engine. M8x1.25x40.00. Tensioner Bracket To Cylinder Head. Main Bearing Cap Cross Bar To Cylinder Block. | MSRP  $3.55 | $2.26",https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6509210AA,6509210AA,Hex Head Bolt And Coned Washer Mounting Lower,![Image 45: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $5.20 | $3.36 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6509565AA,6509565AA,Hex Flange Head Bolt Mounting Outboard,![Image 63: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** M8x1.25x97.00. Main Bearing Cap To Cylinder block. | MSRP  $4.90 | $3.14,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6510082AA,6510082AA,Pipe Plug,![Image 37: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** M24x1.50. All Plugs And Dowel Pins Must Be Installed On Cylinder Block Before Installing Engine.. Coolant Drain. Main Oil Gallery. Oil Control Valve. Item 13 Also Contained in Short Block Engine Kit. Coolant Passage. Oil Gallery Side Of Cylinder Block. Rear Of Cylinder Block. | MSRP  $9.25 | $6.00,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6511682AA,6511682AA,Pipe Plug Rear,![Image 39: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** M24x1.50. Item 13 Pin Kit Also Contained in Short Block Engine Kit. All Plugs And Dowel Pins Must Be Installed On Cylinder Block Before Installing Engine.. New Updated Plug In Rear Of Cylinder Block. Oil Gallery Rear.,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,6511874AA,6511874AA,Hex Flange Head Bolt Mounting Inboard,![Image 61: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Inner Main Bearing Cap To Cylinder Block. Inboard Main Bearing Cap To Cylinder Block. M11x1.50x94.00. | MSRP  $6.85 | $4.40,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,68088092AB,68088092AB,Piston Oil Cooler Jet,![Image 59: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** PISTON OIL COOLER | MSRP  $15.40 | $10.07,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,68146903AB,68146903AB,Short Block Engine Pin Kit,![Image 55: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Item 13 Pin Kit Also Contained in Short Block Engine Kit. All Plugs And Dowel Pins Must Be Installed On Cylinder Block Before Installing Engine.. Included With Short Block Engine. MUST Be Installed On Cylinder Block Before Engine Is Installed. | MSRP  $22.50 | $14.69,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Block,68223854AA,68223854AA,Crankshaft Rear Oil Retainer And Seal,![Image 43: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** CRANKSHAFT OIL SEAL RR | MSRP  $147.00 | $96.80,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-block
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,4556020AB,4556020AB,Core Plug Cylinder Head Plug,![Image 53: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. 5.7L V8 HEMI MDS VVT Engine. 6.4L V8 SRT HEMI MDS Engine. | *Description:** Water Jacket Core. Two [2] Per Cylinder Head. Coolant Front And Rear Of Cylinder Head. Back Of Lower Intake Manifold. Mega Cab. Oil Gallery. [1.25 Diameter]. 1 1/4. | MSRP  $7.20 | $4.62,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,4663722,4663722,Valve Spring Retainer Lock,![Image 63: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Exhaust Valves. | MSRP  $3.65 | $2.31,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5048025AA,5048025AA,Valve Guide Seal,![Image 71: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** But All One Color Must Be Used On The Cylinder Head At The Same Time.. Black. | MSRP  $4.95 | $3.25,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5184060AN,5184060AN,Valve Spring,![Image 67: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $10.70 | $6.93 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5184126AB,5184126AB,Valve Spring Retainer,![Image 65: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $3.35 | $2.15 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5184127AC,5184127AC,Intake Valve,![Image 75: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.6L V6 24V VVT Engine. | *Description:** Standard. | MSRP  $25.00 | $16.50,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5184128AE,5184128AE,Exhaust Valve,![Image 77: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Standard. | MSRP  $34.95 | $22.83,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5184167AB,5184167AB,Valve Spring Seat,![Image 73: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | MSRP  $3.30 | $2.09 | +,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
Chrysler 300,C,3.6L V6 Flex,3 6L Gas Engine / Cylinder Head,5184168AB,5184168AB,Valve Guide Seal,![Image 69: Mopar](https://cdn-static.revolutionparts.io/assets/images/mopar.png)**Mopar** | *Notes:****Engines:** 3.0L V6 24V VVT ENGINE. 3.6L V6 24V VVT Engine. | *Description:** Brown. But All One Color Must Be Used On The Cylinder Head At The Same Time. | MSRP  $13.35 | $8.80,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-flex/3-6l-gas-engine--cylinder-head
