vin,vehicle,category,normalized_part_number,catalog_part_numbers,descriptions,assemblies,part_urls,source_urls,illustration_files
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5LB70LC5AF,5LB70LC5AF,Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb70lc5af,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5LB71DX9AI,5LB71DX9AI,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb71dx9ai,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,5LB71DX9AI,5LB71DX9AI,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb71dx9ai,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5LB71LC5AI,5LB71LC5AI,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb71lc5ai,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5LB72DX9AH,5LB72DX9AH,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb72dx9ah,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,5LB72DX9AH,5LB72DX9AH,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb72dx9ah,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5LB72LC5AH,5LB72LC5AH,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb72lc5ah,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-01.png
2C3CDXGJ2HH530684,2017 Dodge Charger R/T Scat Pack 6.4L V8 Gas,air-bags,5LB73DX9AH,5LB73DX9AH,Module | Steering Column Module,1:Screw,https://www.moparamerica.com/oem-parts/mopar-steering-column-module-5lb73dx9ah,https://www.moparamerica.com/v-2017-dodge-charger--r-t-scat-pack--6-4l-v8-gas/restraints--air-bags?assembly=1,evidence/mopar/illustrations/2C3CDXGJ2HH530684/air-bags__assembly-01.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5PP65DX9AE,5PP65DX9AE,Bag,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-driver-air-bag-5pp65dx9ae,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
2C3CCAEG4HH586472,2017 Chrysler 300 C 3.6L V6 Gas,air-bags,5PP65LC5AE,5PP65LC5AE,Bag,3:Passenger Air Bag,https://www.moparamerica.com/oem-parts/mopar-driver-air-bag-5pp65lc5ae,https://www.moparamerica.com/v-2017-chrysler-300--c--3-6l-v6-gas/restraints--air-bags?assembly=3,evidence/mopar/illustrations/2C3CCAEG4HH586472/air-bags__assembly-03.png
